IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
9.61,6.85,10.57,14.77,31.62,9.45,13.8,7.62,15.55,5.98,7.7,5.03,27.4,0.88,133.32,4.82,16.45,54.07,32.08,0.72,4.55,1.45,11.62,4.33
7.52,8.5,7.8,19.16,31.45,10.38,13.52,7.93,9.88,5.47,12.2,6.99,26.82,0.85,113.67,4.65,20.7,49.42,29.43,0.75,5.4,1.56,9.72,3.98
8.36,8.1,4.83,20.93,27.48,11.3,13.4,9.2,7.73,5.45,10.72,6.73,24.38,8.55,105.97,5.03,15.9,48.1,29.7,0.9,4.896666666666667,1.57,8.43,3.62
7.39,4.58,3.87,21.01,24.8,3.2622222222222224,13.27,5.75,4.9,5.45,9.15,6.04,20.15,23.98,95.88,3.93,7.88,41.67,11.3,0.8,4.313999999999999,1.12,7.62,2.5
5.35,3.47,2.47,18.51,21.5,3.466666666666667,12.88,5.53,3.72,5.3,4.3,4.58,18.85,19.73,73.57,2.85,6.17,35.62,50.23,0.5,4.7700000000000005,0.92,6.62,2.02
5.94,2.48,1.98,22.7,19.52,5.027,11.53,4.65,3.25,4.95,6.35,8.22,32.8,16.9,104.17,5.53,3.97,30.8,92.05,0.68,4.416666666666667,1.72,5.7,2.0
6.18,2.65,2.47,19.98,18.55,4.9430000000000005,11.12,5.42,7.7,2.8,13.5,12.28,26.72,22.57,53.92,6.25,3.9,35.83,55.5,0.95,4.286666666666666,2.33,5.95,1.7
6.84,7.85,6.05,17.14,20.03,5.335,11.55,7.55,10.55,3.42,15.62,10.98,19.82,16.82,67.07,4.05,5.75,32.8,253.93,0.9,4.283333333333334,2.55,6.65,1.62
7.0,10.05,5.12,20.19,20.52,6.625,11.28,7.6,13.6,3.22,13.58,12.93,21.38,1.02,40.9,6.75,7.25,28.25,101.92,1.2,5.03,1.78,7.97,1.73
7.84,9.4,4.88,22.68,21.93,5.298,10.88,7.25,14.3,2.45,13.05,11.89,30.47,1.38,35.42,5.62,7.4,27.7,79.55,1.23,,1.69,8.6,1.7
6.2,7.67,3.52,21.0,22.55,5.436000000000001,10.82,7.75,9.88,3.1,13.07,8.93,17.8,10.0,30.23,4.6,6.88,26.58,122.43,1.02,5.1,1.2,8.02,2.3
6.06,7.88,3.3,22.66,22.97,5.09,10.48,9.32,8.1,3.33,21.03,11.84,22.4,27.67,39.05,3.82,8.33,33.88,90.1,1.15,4.225,2.83,7.92,2.15
