Dwarka-S8-DPCC,East-Arjun-Nagar-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
975.95,973.56,977.3,978.78,988.9914285714286,977.33,976.15,976.9,977.8,979.6,981.9,974.2149999999999,977.17,972.47,974.47,978.22,978.45,976.8,979.33,977.6,973.8,978.5,978.35
976.3,973.97,977.62,976.4233333333335,997.08,977.67,976.2,976.72,978.12,979.97,981.8,974.625,977.5,971.65,974.85,978.68,978.75,977.2,979.7,977.97,973.8,978.85,978.83
976.5,974.22,977.85,976.517,983.88,977.73,976.18,976.12,978.15,980.12,981.82,976.62,977.52,971.4,975.18,978.8,979.02,977.03,979.95,978.18,973.6,979.15,978.88
976.48,974.22,977.9,977.048888888889,988.62,977.75,976.2,977.38,978.25,980.2,981.8,976.45,977.62,971.38,975.1,978.77,979.02,977.1,979.92,978.2,973.42,979.12,978.85
976.65,974.42,978.1,977.2644444444444,982.2,978.03,976.3,977.68,978.52,980.42,981.88,976.58,977.88,971.4,975.4,979.05,979.33,977.38,980.15,978.5,973.38,979.38,979.15
976.65,974.51,978.12,976.9769999999999,986.55,978.12,976.25,977.73,978.52,980.5,981.82,976.58,977.9,971.4,975.47,979.18,979.52,977.42,980.23,978.65,973.17,979.42,979.08
976.45,974.42,977.8,976.6899999999999,983.97,977.88,976.2,977.4,978.15,980.2,981.9,976.38,977.62,971.35,975.28,979.05,979.3,977.0,980.12,978.4,971.7,979.3,978.8
975.65,973.61,976.9,976.1060000000001,985.03,976.95,976.3,976.48,977.17,979.33,981.85,973.8411111111111,976.7,971.38,974.45,978.23,978.5,976.23,979.33,977.65,971.7,978.45,977.88
974.9,972.78,976.15,975.5050000000001,987.65,976.25,976.32,975.77,976.45,978.53,981.88,973.5655555555555,976.03,971.38,973.6,977.48,977.83,975.6,978.52,977.0,971.7,977.67,977.22
973.8,971.73,974.83,974.723,992.72,974.88,976.3,974.35,975.12,977.22,981.88,972.41625,974.65,971.32,972.53,976.33,976.65,974.15,977.38,975.83,971.7,976.58,975.9
972.3,970.11,973.38,973.9959999999999,996.62,973.48,976.3,973.02,973.75,975.73,981.82,971.7,973.23,971.38,970.95,974.85,975.25,972.8,975.51,974.27,971.7,974.92,974.5
971.25,969.16,972.4,973.6279999999999,992.35,972.48,976.2,971.98,972.75,974.75,981.85,971.1,972.25,971.35,969.97,973.75,974.2,971.77,974.45,973.27,971.73,973.95,973.4
970.48,968.33,971.85,973.533,994.25,971.85,976.15,971.45,972.3,974.18,981.85,970.35,971.7,971.38,969.25,972.97,973.25,971.12,973.98,972.42,971.8,973.2,972.9
970.88,968.38,972.15,973.844,995.2,972.08,976.12,971.85,972.6,974.3,981.88,970.5,971.93,971.35,969.42,973.0,973.4,971.45,974.08,972.53,971.8,973.38,973.22
971.28,968.76,972.5,973.1,994.5,972.35,976.15,971.98,972.8,974.6,981.9,971.17,972.25,971.35,969.83,973.3,973.58,971.92,974.42,972.82,971.8,973.8,973.5
971.52,969.08,972.75,975.2860000000001,996.88,972.88,976.27,972.25,973.15,974.95,981.88,972.835,972.52,971.4,969.98,973.67,973.88,972.48,974.67,973.08,971.8,974.1,973.73
971.98,969.35,972.92,975.8040000000001,996.55,973.03,976.12,972.42,973.3,975.08,981.82,973.65,972.65,971.38,970.23,973.95,974.12,972.42,975.03,973.38,971.8,974.35,973.88
971.85,969.35,972.88,976.0649999999999,987.97,973.12,976.23,972.53,973.42,975.15,981.9,973.9962499999999,972.75,971.4,970.2,973.92,974.08,972.27,977.4844444444445,973.3,971.8,974.35,973.95
971.82,969.39,972.95,976.0640000000001,993.85,973.17,976.1,972.55,973.45,975.17,981.9,971.95,972.75,971.38,970.2,974.02,974.23,972.62,975.0,973.35,971.8,974.35,974.03
971.7,969.19,972.7,973.8,997.03,972.85,976.02,972.22,973.1,974.85,981.9,971.7,972.4,971.35,970.1,973.78,974.0,972.4,974.7,973.17,971.8,974.17,973.73
971.5,968.88,972.42,973.5,997.3,972.42,976.18,972.0,972.8,974.6,981.9,971.38,972.25,971.38,969.83,973.5,973.7,971.85,974.42,972.85,971.8,973.88,973.55
971.12,968.61,972.18,975.8099999999998,984.9483333333333,972.25,976.2,971.73,972.52,974.3,981.9,971.08,971.98,971.4,969.48,973.23,973.4,971.73,974.18,972.6,971.8,973.62,973.27
970.8,968.36,971.92,975.8163636363638,994.05,972.0,976.18,971.5,972.35,974.08,981.9,970.78,971.8,971.4,969.25,972.95,973.18,971.45,973.95,972.42,971.8,973.4,973.02
970.97,968.37,972.1,972.8,991.33,972.0,976.2,971.65,972.45,974.23,981.9,970.9,971.92,971.38,969.35,972.92,973.1,971.55,974.02,972.4,971.8,973.42,973.15
971.18,968.57,972.18,973.0,993.47,972.08,976.2,971.82,972.55,974.3,981.9,974.1777777777778,972.0,971.35,969.42,973.1,973.35,971.7,974.12,972.65,971.8,973.62,973.27
971.38,968.75,972.5,976.4060000000002,991.12,972.5,976.2,972.25,973.07,974.67,981.9,974.5744444444445,972.42,971.32,969.65,973.33,973.55,972.0,974.38,972.83,971.8,973.78,973.73
972.08,969.49,973.18,974.0,985.95,973.17,976.2,972.9,973.67,975.45,981.9,972.05,973.08,971.35,970.38,974.0,974.28,972.5,975.1,973.53,971.8,974.48,974.38
972.42,969.8,973.4,977.144,977.5,973.3,976.23,972.98,973.77,975.65,981.85,972.12,973.18,971.35,970.72,974.32,974.5,972.62,975.48,973.77,971.8,974.82,974.58
972.2,969.79,973.38,977.333,980.75,973.3,976.25,972.97,973.77,975.67,981.9,971.97,973.2,971.38,970.67,974.27,974.52,972.53,975.38,973.75,971.8,974.75,974.5
972.25,969.93,973.6,974.2,987.42,973.45,976.25,973.12,973.88,975.68,981.9,972.18,973.32,971.38,970.92,974.42,974.8,972.73,975.6,973.9,971.8,975.0,974.55
972.05,969.75,973.33,974.03,980.72,973.22,976.3,972.72,973.55,975.42,981.9,972.12,973.03,971.3,970.85,974.28,974.65,972.3,975.4,973.85,971.8,974.8,974.17
971.27,969.1,972.47,973.33,976.12,972.45,976.3,972.02,972.75,974.8,981.95,971.7,972.23,971.32,970.02,973.65,974.0,971.55,974.67,973.17,971.77,974.07,973.47
970.5,968.31,971.72,972.62,977.73,971.65,976.27,971.4,972.02,973.98,981.92,973.809,971.45,971.32,969.23,972.8,973.3,970.85,973.85,972.45,971.7,973.27,972.7
969.77,967.49,970.9,971.88,982.2,970.95,976.3,970.45,971.25,973.12,981.92,972.7366666666666,970.75,971.4,968.43,972.12,972.5,970.1,973.12,971.67,971.7,972.48,971.85
968.67,966.45,969.77,970.83,986.48,969.85,976.27,969.45,970.15,972.02,981.95,968.2,969.62,971.4,967.4,971.05,971.5,969.02,972.05,970.6,971.73,971.38,970.88
968.05,965.72,969.28,970.3,990.08,969.23,976.23,968.8,969.6,971.5,981.9,967.85,969.05,971.38,966.72,970.35,970.75,968.4,971.45,969.98,971.77,970.75,970.22
967.53,965.32,968.72,969.72,994.5,968.7,976.2,968.28,969.05,971.02,981.92,967.4,968.5,971.38,966.28,969.88,970.08,967.95,970.97,969.38,971.8,970.28,969.8
967.33,964.96,968.62,969.5,995.83,968.52,976.2,968.17,968.95,970.83,981.9,967.1,968.35,971.38,965.92,968.25,969.73,967.83,970.58,968.98,971.8,969.92,969.65
967.83,965.27,969.18,970.07,997.55,969.05,976.2,968.82,969.62,971.28,981.9,967.75,968.98,971.32,966.38,969.92,970.2,968.33,970.97,969.45,971.8,970.38,970.25
