IHBAS-CPCB,Shadipur-CPCB
0.61,0.49
0.68,0.52
0.57,0.36
0.62,0.29
0.45,0.47
0.9,0.4
0.48,0.45
0.38,0.4
25.43,0.45
1.91,0.58
0.98,0.48
1.03,0.54
1.01,0.53
1.1007692307692307,0.41
13.57,0.32
0.82,0.46
1.22,0.59
1.17,0.42
1.78,0.57
2.12,0.56
3.39,0.52
2.67,0.56
1.4,0.62
0.98,0.53
1.03,0.7
0.83,0.39
1.14,0.33
0.93,0.6
0.71,0.61
0.54,0.44
0.52,0.5
0.52,0.48
0.43,0.4
0.42,0.4
1.17,0.35
1.31,0.51
1.07,0.39
1.34,0.54
1.4,0.68
2.54,0.79
2.0,1.25
1.79,1.68
4.05,1.47
2.2,2.93
2.74,1.99
4.34,2.01
5.11,1.66
4.37,1.06
4.26,0.87
3.25,1.22
2.99,1.1
2.52,1.12
2.02,1.07
2.41,0.81
4.12,0.68
4.14,0.59
4.52,0.51
2.67,0.44
2.95,0.53
2.04,0.62
1.38,0.56
2.21,0.54
1.41,0.37
1.92,1.47
2.08,1.17
2.55,1.09
3.42,0.89
4.03,1.19
5.54,2.27
2.93,2.2
3.33,0.84
2.63,0.84
1.26,0.96
6.61,1.66
1.88,0.98
1.81,1.03
2.81,0.79
1.72,0.97
1.71,0.5
2.39,0.34
2.03,0.45
0.86,0.49
0.58,0.6852941176470587
1.14,0.7870588235294118
6.32,0.8600000000000001
1.73,0.8511764705882353
1.39,0.7176470588235294
4.33,1.81
2.28,3.03
1.15,3.19
3.31,2.98
3.98,2.26
5.29,3.03
8.5,4.03
7.87,2.29
2.71,2.29
0.94,2.41
0.41,1.14
0.33,0.6
4.23,0.58
10.32,0.46
1.45,0.42
0.69,0.72
0.94,0.78
0.92,0.79
1.21,0.77
1.8,0.97
1.95,0.97
2.05,1.24
3.06,1.41
3.46,1.02
3.18,1.12
3.81,2.39
4.45,3.2
1.45,3.97
1.33,5.33
2.02,4.47
2.89,7.01
1.93,3.16
1.21,2.35
0.79,1.41
1.1,1.41
1.02,1.72
1.0,1.61
0.7,0.93
0.56,0.75
0.48,0.8
0.41,0.63
0.51,0.7
0.49,0.55
0.75,0.55
0.86,0.78
0.87,0.92
0.87,0.61
0.68,0.47
0.65,0.57
0.69,0.7
0.99,0.87
2.05,0.81
3.35,0.94
2.01,4.5
2.33,6.14
3.02,4.49
1.69,2.39
0.73,1.16
0.47,0.61
0.34,0.43
0.29,0.63
0.26,0.5
0.26,0.47
0.28,0.6
0.26,0.69
0.19,0.5
0.23,0.5
0.25,0.93
0.36,1.13
0.46,0.52
0.56,0.77
0.32,0.66
0.29,0.81
0.36,1.49
0.49,2.17
0.93,1.98
1.19,3.84
1.82,3.93
1.34,1.18
0.52,0.88
0.32,0.84
0.31,0.59
0.21,0.51
0.2,0.34
0.21,0.26
0.22,0.21
0.18,0.35
0.2,0.16
0.21,0.6
0.22,0.63
0.28,0.73
0.45,0.64
0.42,0.68
0.39,0.63
0.39,0.67
0.37,0.85
0.38,0.87
0.7,0.61
0.55,0.6
0.49,0.65
0.63,0.86
0.54,0.9
0.59,1.01
0.53,0.56
0.27,0.46
0.23,0.35
0.2,0.27
0.24,0.9947058823529412
0.19,0.9035294117647058
0.25,0.11
0.23,0.1
0.23,0.23
0.22,0.45
0.31,0.45
0.61,0.72
0.53,0.53
1.23,0.52
0.88,0.52
0.84,0.52
0.6,0.56
0.67,0.45
1.31,0.66
1.04,0.51
2.02,0.91
1.25,1.39
1.39,3.02
3.59,1.04
2.34,0.54
3.43,0.49
1.0,0.58
1.21,0.54
1.36,0.39
0.96,0.43
0.83,0.17
1.03,0.18
0.99,0.34
0.78,0.52
0.65,0.48
0.78,0.52
0.68,0.6
0.91,0.91
1.65,0.64
1.06,0.64
0.85,0.57
0.88,0.49
1.08,0.46
1.62,0.55
4.3,0.88
4.73,0.63
3.38,0.69
1.76,0.65
1.64,0.65
0.96,0.38
4.84,0.62
1.11,0.56
1.1,0.86
0.9,0.46
1.25,0.59
1.76,0.81
2.09,0.49
1.4,0.96
0.9,0.34
0.61,0.03
0.72,0.63
0.76,0.4
1.18,0.82
0.59,0.54
1.16,0.23
1.16,0.48
1.24,0.3
1.38,0.56
1.9,0.75
1.92,0.95
2.33,2.19
2.26,2.1
3.51,1.58
3.38,1.02
2.26,0.55
1.09,0.47
0.84,0.49
0.8,0.6
0.83,0.55
0.77,0.29
0.6,0.12
0.48,0.2
0.49,0.34
0.46,0.26
0.56,0.47
0.45,0.4
0.8088235294117647,0.54
0.7135294117647059,0.48
0.6088235294117647,0.53
0.68,1.23
0.8923529411764707,1.27
1.0123529411764707,0.69
1.2441176470588236,0.85
0.63,2.99
0.63,6.79
1.21,6.6
1.47,2.22
1.43,1.55
1.65,1.57
1.55,1.63
1.47,2.06
1.43,2.38
1.43,2.06
1.77,2.66
1.55,1.49
1.21,0.75
1.02,0.59
0.8,0.52
0.61,0.65
0.46,0.82
1.62,1.54
1.03,0.95
0.23,0.77
0.46,1.83
1.12,3.46
0.63,3.11
0.44,2.46
1.07,3.46
0.83,4.33
0.78,4.07
0.83,1.91
0.9,1.29
0.79,0.78
0.67,0.75
0.71,1.02
0.5,1.08
0.29,0.92
0.29,0.83
0.27,0.55
0.24,1.13
0.32,0.9
0.44,0.93
0.49,0.6394117647058823
0.33,0.6606666666666666
0.34,0.6673333333333333
0.29,0.5453333333333333
0.19,0.578125
0.4458823529411764,0.52
0.03,0.67
0.11,0.91
0.19,2.55
0.53,4.41
0.81,7.76
1.34,9.96
1.13,4.51
0.72,2.47
0.42,1.46
0.25,1.4
0.13,0.9
0.1,0.66
0.08,0.67
0.09,0.46
0.07,0.25
0.06,0.2
0.06,0.45
0.07,0.35
0.1,0.38
0.11,0.45
0.13,0.52
0.14,0.66
0.12,0.53
0.26,0.57
0.38,0.65
0.17,0.57
0.19,0.72
0.21,0.54
0.2,0.66
0.14,0.73
0.1,0.53
0.08,0.32
0.09,0.19
0.08,0.8482352941176471
0.09,0.9747058823529412
0.12,1.035
0.12,0.776470588235294
0.19,1.6775
0.17,2.0682352941176467
0.14,0.1
0.13,0.24
0.12,0.43
0.12,0.76
0.2,0.57
0.21,0.6
0.21,0.7
0.14,0.41
