IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
5.88,10.05,8.55,1.9,8.49,4.12,4.57,233.55,0.65,3.15,5.5,4.4,76.6,4.53,5.0,17.55,2.5,0.88,5.12,2.62,5.7,90.22,3.02,3.3,9.52,6.03,1.55,3.25
5.78,9.53,8.53,1.9,8.3,4.1,4.53,232.68,0.65,3.23,5.5,4.4,76.55,4.47,5.07,17.4,2.42,0.9,5.2,2.75,5.7,28.93,3.08,3.32,9.48,6.03,1.65,3.27
5.75,9.53,8.53,1.9,8.45,4.1,4.57,231.25,0.7,3.0,5.5,4.38,76.65,4.5,5.08,16.1,2.42,0.9,5.15,2.631,5.7,38.03,3.08,3.35,9.5,5.9,1.6,3.23
5.78,9.7,8.55,1.9,8.49,4.1,4.53,231.97,0.62,2.88,5.5,4.38,76.78,4.5,5.0,14.85,2.35,0.88,5.15,2.652,5.7,54.9,2.95,3.3,9.45,5.47,1.58,3.33
5.85,10.23,8.5,1.9,8.56,4.1,4.57,232.08,0.65,2.82,5.5,4.4,76.72,4.47,5.03,12.2,2.35,0.85,5.15,2.6,5.7,74.9,2.88,3.3,9.4,5.45,1.58,3.2
7.0,11.15,10.62,1.95,9.02,5.1,6.43,231.3,2.8,3.77,9.2,7.88,77.4,6.35,5.8,17.6475,3.92,1.5,6.0,3.08,6.68,132.82,3.52,3.82,13.7,6.4,2.18,5.12
29.3,49.72,55.92,26.29,43.14,14.95,55.465555555555554,236.12,91.7,28.05,66.35,92.0,113.73,57.5,32.25,46.58125,40.9,31.62,19.98,31.38,57.3,280.32,29.4,24.3,189.97,42.92,21.97,28.88
88.03,157.95,190.35,121.37,139.06,44.83,171.33800000000002,256.42,232.65,93.97,245.28,215.18,257.38,152.35,136.85,132.18,131.28,147.22,152.82,143.55,205.82,292.07,132.8,48.18,373.92,139.07,141.12,90.53
201.05,264.25,414.4,336.54,201.58,86.62,356.36333333333334,256.25,397.17,296.7,336.45,388.52,349.03,370.27,332.17,297.43,302.1,306.57,386.07,236.12,351.27,289.55,333.1,213.93,404.8,279.48,350.9,311.05
356.35,491.35,571.95,564.24,262.38,153.4,460.08666666666664,251.12,571.05,483.6,523.12,543.75,482.83,549.35,383.2,422.7,461.75,366.27,545.08,393.93,478.62,287.53,494.42,324.43,431.12,419.35,522.67,476.12
428.6,621.0,656.2,698.61,340.69,127.88,525.633,250.5,683.28,602.2,677.48,657.67,570.35,633.38,391.23,659.88,562.5,381.5,686.8,490.02,660.12,287.88,548.03,445.12,436.25,541.17,591.38,606.33
441.23,665.88,670.03,730.6,405.04,148.4,559.346,256.55,736.17,553.25,705.35,633.77,570.75,720.33,374.38,566.2,602.52,368.82,649.3,560.3,696.6,287.57,580.15,621.78,413.68,559.4,672.5,666.2
502.17,394.55,651.53,720.86,299.0,183.4,550.768,256.67,738.48,635.02,745.05,623.05,585.35,761.73,358.38,588.4111111111112,590.88,351.08,705.88,566.88,780.52,286.6,703.25,668.7,393.4,549.38,594.67,670.35
429.2,487.35,518.08,759.97,133.31,540.38,553.0710000000001,250.07,630.55,393.8,663.12,522.95,485.55,511.43,340.7,536.4,563.08,353.18,590.95,464.32,693.9,285.4,549.67,649.45,384.12,376.18,515.65,555.8
435.5,493.18,547.2,747.5,119.03,576.45,481.42800000000005,242.88,594.12,448.78,599.82,592.42,454.05,583.27,309.85,394.40374999999995,495.57,362.67,404.35,355.23,653.38,285.55,356.8,560.75,376.62,476.45,471.2,511.07
270.77,335.85,418.42,628.67,279.33,463.5,282.925,241.23,483.65,512.73,432.8,521.42,398.25,480.43,328.57,258.45,339.38,185.1,426.82,239.73,515.1,284.52,148.98444444444442,442.02,362.52,371.55,291.38,184.05
89.72,161.57,251.75,423.39,185.14,230.77,214.70700000000002,239.23,303.77,280.08,279.2,323.23,237.57,293.88,155.95,263.15,89.82,123.78,166.52,130.03,312.05,283.77,219.15,304.77,348.7,196.77,89.38,75.22
55.3,113.73,123.8,196.57,92.42,69.2,89.48599999999999,235.75,105.27,174.07,61.42,121.6,121.1,127.77,98.58,153.97,42.38,52.33,69.9,51.38,72.12,279.05,130.65,134.23,325.77,60.15,58.12,55.02
16.58,33.65,23.77,33.46,15.13,12.1,20.279,230.98,9.85,20.68,28.82,14.53,85.17,12.85,22.2,40.17,8.62,17.35,28.35,10.43,29.4,250.67,16.15,14.45,122.0,35.05,15.75,28.2
5.5,11.45,9.05,2.31,8.47,4.28,5.8,229.23,0.97,4.08,5.92,4.58,75.52,4.58,6.28,21.88,2.65,2.23,5.85,3.22,8.0,140.43,3.42,4.85,14.0,9.72,2.17,4.62
5.08,7.78,8.55,1.9,8.05,4.1,4.339,227.8,1.35,3.1,5.47,4.4,75.03,4.43,5.15,17.238,2.33,0.93,5.2,2.77,5.88,124.05,2.95,3.15,9.4,5.65,1.48,3.3
5.03,8.4,8.53,1.9,8.27,4.1,4.329,227.3,1.38,2.95,5.5,4.4,75.22,4.45,5.03,16.54375,2.3,0.85,5.18,2.75,5.7,119.5,3.05,3.28,9.33,5.35,1.52,3.17
5.0,7.78,8.57,1.9,8.41,4.1,4.328,225.45,1.25,3.1,5.5,4.4,75.38,4.47,5.15,16.6125,2.48,0.9,5.12,2.83,5.7,106.03,3.238888888888889,3.2,9.43,5.43,1.58,3.4
5.78,7.0,8.53,1.9,8.49,4.1,4.3309999999999995,222.82,1.3,2.9,5.5,4.4,75.55,4.45,5.15,20.75,2.35,0.83,5.18,2.75,5.7,85.05,3.0,3.12,9.38,5.57,1.5,3.27
5.7,6.45,8.57,1.9,8.48,4.1,4.6,221.4,1.45,2.88,5.5,4.43,75.6,4.45,5.12,22.5,2.27,0.93,5.12,2.77,5.7,66.72,2.98,3.1,9.4,5.3,1.5,3.3
5.5,6.25,8.53,1.9,8.59,4.07,4.7,221.07,0.75,2.98,5.5,4.38,75.68,4.45,5.05,22.15,2.5,0.88,5.18,2.73,5.7,59.47,2.95,3.23,9.5,4.88,1.5,3.32
6.05,6.32,8.5,1.9,8.52,4.1,4.380909090909092,221.3,1.0,2.98,5.5,4.4,75.72,4.47,5.0,21.4,2.45,0.83,5.18,2.65,5.7,96.4,2.95,3.23,9.43,5.2,1.52,3.3
6.55,6.28,8.55,1.9,8.53,4.1,4.387272727272727,222.28,0.72,2.92,5.5,4.4,75.88,4.4,4.92,21.27,2.5,0.83,5.18,2.6,5.7,130.02,2.92,3.32,9.33,5.6,1.48,3.32
5.83,6.88,8.5,1.9,8.49,4.1,4.7,223.43,0.85,3.08,5.53,4.4,75.93,4.43,5.0,20.9,2.55,0.9,5.15,2.62,5.7,151.45,2.95,3.38,9.43,7.2,1.6,3.35
7.88,11.55,20.15,3.75,10.41,9.72,14.6,224.35,12.52,7.43,21.2,21.2,78.97,13.6,8.05,18.956666666666667,11.4,4.53,8.8,5.03,9.62,209.85,5.67,6.0,30.6,11.53,4.12,11.97
50.07,56.98,86.95,69.11,41.53,41.5,54.51800000000001,233.05,79.65,65.35,68.55,90.88,120.6,89.05,65.85,47.715555555555554,59.97,60.0,63.2,41.92,68.7,284.88,50.92,39.83,305.27,50.08,53.05,42.12
59.02,93.0,148.38,93.27,62.23,69.62,124.2,240.28,119.18,118.4,110.62,133.95,165.0,103.05,116.1,145.2,96.9,112.85,115.58,70.27,112.38,286.7,71.53,77.47,337.8,82.2,92.25,78.45
149.05,187.72,240.95,240.05,138.63,104.05,309.442,251.45,254.35,193.07,283.15,272.9,211.2,243.22,210.53,200.12,200.55,176.7,201.72,168.88,267.35,290.38,166.18,151.18,390.55,174.88,180.72,211.58
225.65,358.12,496.7,362.48,229.19,140.35,401.2699999999999,246.93,505.17,370.15,505.02,490.35,398.1,340.52,352.38,348.85,409.12,337.77,416.65,284.92,413.02,289.27,273.3,282.8,410.75,346.12,318.62,462.38
293.6,499.93,425.4,524.79,292.83,143.02,495.05,242.52,472.43,494.68,473.0,509.48,498.65,458.3,373.55,480.52,421.07,308.9,419.83,325.38,459.08,286.92,440.95,393.02,416.22,488.5,403.1,564.83
226.43,580.2,549.7,463.44,347.02,170.38,697.83,250.1,699.02,550.82,686.33,706.1,559.62,375.17,364.43,438.02,585.68,364.4,543.62,477.62,716.8,285.95,357.6,490.35,393.0,536.43,479.38,603.88
364.65,395.4,584.88,593.35,294.21,245.8,646.08,252.88,553.67,603.25,657.73,671.05,525.92,592.88,369.78,590.5,505.38,361.4,466.23,535.85,651.62,285.3,467.48,658.17,401.48,431.92,532.05,683.97
305.15,652.33,544.7,598.25,156.26,472.05,668.0,248.95,716.62,529.35,603.7,782.73,594.55,400.72,378.68,462.78899999999993,574.15,349.8,651.03,523.03,598.9,284.42,376.27,601.55,387.17,509.8,602.98,435.93
347.18,509.75,452.52,518.41,171.2,225.72,430.25,238.35,526.23,496.6,345.18,670.15,534.4,441.25,358.1,332.54777777777775,386.3,333.27,300.15,302.02,416.23,286.72,326.92,354.55,385.25,280.35,328.6,224.95
283.0,330.93,425.35,569.82,196.13,302.83,458.08,235.62,438.3,446.03,366.55,508.9,445.07,424.57,337.82,325.8,265.27,234.45,346.22,243.52,515.08,284.0,281.95,286.12,380.97,272.57,338.15,182.25
124.23,203.35,266.95,355.65,186.75,190.82,271.77,233.28,283.8,304.2,180.9,282.1,253.18,248.85,193.1,280.15,124.0,162.35,207.9,141.1,223.78,283.52,210.88,302.5,361.52,248.07,142.75,91.12
76.85,115.17,148.8,207.52,95.36,78.5,134.05,228.93,125.38,171.85,66.97,126.02,146.0,139.72,123.32,167.7,68.8,90.18,117.3,70.67,101.32,280.02,121.88,138.0,345.02,77.95,84.35,37.83
25.8,30.25,26.93,48.02,24.82,15.92,26.32,223.85,23.2,34.1,19.65,22.0,94.35,26.35,36.95,55.4,18.02,23.17,37.55,24.65,35.83,251.23,24.5,28.1,196.52,23.5,23.27,12.12
5.3,7.78,8.68,3.25,8.2,4.15,4.53,222.35,0.93,3.77,5.53,4.43,75.0,4.62,6.28,25.27,2.52,1.7,6.33,3.33,6.85,120.6,3.67,4.1,18.85,4.35,2.48,3.28
5.75,7.88,8.5,1.9,8.44,4.12,4.3,222.1,0.85,2.98,5.5,4.38,74.75,4.45,5.03,23.9,2.4,0.88,5.2,2.5,5.7,121.22,2.98,3.38,9.3,4.88,1.52,3.27
5.42,8.02,8.6,1.9,8.33,4.07,4.32,221.62,0.82,2.92,5.5,4.4,76.6,4.4,4.97,15.503333333333334,2.5,0.9,5.2,2.55,5.7,116.0,3.05,3.58,9.33,4.35,1.48,3.42
5.85,8.17,8.57,1.9,8.47,4.1,4.35,219.93,0.8,2.92,5.5,4.38,76.7,4.32,5.05,15.486666666666666,2.5,0.82,5.2,2.58,5.7,118.7,3.05,3.4,9.35,5.1,1.48,3.5
5.62,8.45,8.55,1.9,8.52,4.07,4.35,219.38,0.8,3.1,5.5,4.38,76.75,4.45,5.07,24.2,2.45,0.78,5.18,2.58,5.7,116.58,3.05,3.4,9.3,6.57,1.52,3.23
5.55,8.1,8.53,1.9,8.46,4.1,4.38,218.8,0.83,3.05,5.5,4.38,76.85,4.43,4.95,60.05,2.48,0.78,5.18,2.58,5.7,112.75,3.02,3.3,9.32,4.55,1.48,3.23
5.45,7.42,8.53,1.9,8.49,4.07,4.35,218.32,0.88,3.1,5.47,4.4,77.2,4.47,4.97,35.27,2.48,0.85,5.18,2.58,5.7,114.5,3.08,3.3,9.4,5.2,1.5,3.3
5.55,7.8,8.53,1.9,8.47,4.1,4.38,216.65,0.85,3.0,5.47,4.38,77.38,4.47,4.97,23.98,2.45,0.8,5.2,2.6,5.7,112.88,3.05,3.27,9.45,4.6,1.48,3.4
5.6,8.03,8.53,1.9,8.49,4.1,4.35,217.73,0.8,3.0,5.5,4.43,77.5,4.47,4.95,24.3,2.35,0.8,5.2,2.62,5.68,104.38,3.05,3.27,9.33,5.5,1.52,3.23
5.8,8.6,8.53,1.9,8.49,4.1,4.32,220.38,0.8,2.98,5.5,4.4,77.47,4.47,4.95,22.7,2.32,0.82,5.2,2.55,5.65,72.8,3.05,3.25,9.4,5.12,1.52,3.28
6.2,10.03,13.12,2.44,8.79,6.67,7.38,221.93,4.52,5.25,10.82,9.53,78.38,9.52,6.42,16.668,4.8,2.05,6.68,3.15,6.72,118.3,4.95,3.7,18.98,5.83,2.97,5.05
32.78,42.45,71.25,37.93,37.46,29.42,80.83,228.45,86.85,39.9,70.25,73.95,109.47,55.33,46.47,47.157000000000004,61.28,34.5,46.57,36.3,47.65,280.57,34.27,31.6,250.18,34.15,33.27,16.52
63.2,107.83,165.43,103.13,106.68,68.0,237.62,238.0,159.73,116.38,266.27,153.43,179.67,131.38,117.03,198.0,132.45,120.57,156.9,126.68,171.77,286.67,82.12,80.97,360.4,105.28,105.45,44.25
187.47,204.62,381.78,297.53,164.81,124.03,355.62,242.83,278.95,271.25,233.62,316.2,274.45,352.12,291.7,258.32,219.23,244.62,377.2,192.5,349.5,287.0,261.5,176.75,408.85,162.02,250.85,237.9
267.9,261.8,390.48,466.52,124.03,149.93,201.65,234.85,297.5,398.92,199.6,350.33,268.05,449.88,290.88,390.55,234.53,302.48,441.98,174.97,241.38,284.52,326.52,151.18,413.73,189.25,374.1,275.2
125.0,394.55,487.62,315.11,244.28,117.78,185.97,230.22,402.2,353.03,332.73,460.53,381.75,149.7,312.55,425.1,455.12,318.7,440.02,266.52,449.12,289.23,253.85,297.88,365.27,333.68,402.27,402.17
356.4,570.4,735.55,736.83,377.82,172.07,518.4,241.22,662.7,588.7,771.08,759.07,536.38,636.9,373.8,548.45,525.05,364.1,382.55,452.45,668.27,289.48,626.67,568.6,432.0,489.25,618.67,640.5
524.88,464.45,579.2,689.11,294.5,222.72,665.27,245.28,691.52,667.2,737.2,756.97,597.1,781.85,395.95,755.42,639.0,375.35,764.45,560.85,736.55,287.5,685.0,650.28,393.55,596.33,741.7,625.67
490.6,585.67,572.62,809.13,150.73,502.7,617.98,243.95,673.55,577.08,608.83,702.98,555.6,724.2,378.02,630.42,570.8,371.05,567.62,517.78,666.65,285.95,411.55,630.35,384.45,536.77,627.3,544.4
403.32,559.45,439.03,658.84,147.96,621.02,623.5,230.8,550.08,500.25,591.3,447.6,425.12,583.02,354.6,526.58,423.3,329.82,590.72,399.18,601.1,285.65,306.55,554.73,368.8,513.0,494.98,495.85
312.0,362.65,436.57,638.73,263.28,464.88,454.77,230.27,437.23,493.75,410.65,484.3,375.98,495.7,326.12,257.15,279.48,138.28,357.18,246.82,486.95,285.58,153.67545454545453,397.4,362.9,398.33,306.8,182.22
79.05,201.85,276.62,425.87,184.86,267.75,295.0,227.75,297.4,356.0,280.05,317.68,256.65,299.42,138.2,262.9,84.05,109.5,138.23,115.17,315.82,284.32,122.50750000000001,292.12,333.6,242.98,87.12,75.32
47.35,153.15,132.05,200.39,93.58,67.55,125.0,224.97,107.8,196.97,65.47,146.75,125.62,135.85,87.95,157.43,44.88,52.32,69.38,48.2,83.17,280.85,81.87750000000001,133.48,298.65,62.68,52.67,46.4
