IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
4.09,2.85,2.45,9.17,30.68,4.88,11.98,7.899444444444445,9.4,2.06,8.25,5.85,3.98,24.01,36.45,1.77,3.25,6.9,7.6,10.57,2.2,8.1,2.92,14.05,2.77,3.45,22.8,5.67,2.33
4.63,5.65,5.03,13.77,33.62,4.48,12.43,10.259444444444446,14.57,2.11,8.45,9.5,5.08,22.74,33.12,2.02,4.1,9.4,11.9,12.38,16.35,12.75,8.2,15.15,2.27,3.62,22.68,5.73,11.93
22.04,23.9,37.12,22.51,34.08,16.25,20.67,25.448333333333334,36.33,3.7,12.65,22.95,8.43,24.86,45.88,9.32,9.95,16.1,21.93,24.15,57.55,36.15,15.07,17.3,3.2,6.72,16.3,14.68,58.9
33.9,54.38,61.83,58.6,48.77,45.68,39.74,62.088888888888896,71.05,13.1,35.78,57.85,17.23,37.55,89.8,27.35,46.22,39.0,62.85,44.05,126.32,94.88,33.38,18.88,9.05,17.7,27.62,56.35,74.4
70.71,94.95,79.28,85.44,73.22,67.22,61.56,108.08222222222221,113.62,37.1,87.22,102.38,37.4,46.79,63.0975,57.58,109.92,82.18,113.98,66.43,180.95,146.4,72.57,23.45,31.1,39.47,50.3,117.52,153.38
104.49,148.93,108.05,100.47,112.85,111.3,74.9,134.7870588235294,145.82,52.2,158.82,127.47,72.72,72.7,70.648,82.85,168.0,115.2,185.35,92.18,195.4,119.67124999999999,112.73,28.25,31.141875,58.67,60.1,176.9,159.05
102.82,166.55,116.27,92.68,135.5,132.38,74.24,144.04705882352943,130.45,42.622608695652175,171.0,129.97,65.67,86.17,76.31,84.3,143.84333333333336,105.5,139.45,93.22,154.01333333333332,125.42772727272727,129.95,54.1995652173913,37.24625,67.12,74.7,137.61125,163.4
91.4,158.38,110.22,79.19,142.25,112.0,71.57,141.79444444444445,113.38,44.47173913043479,140.82,119.65,76.02,63.95,90.39999999999999,66.05,195.5,95.38,194.75,75.38,168.79166666666666,193.88,115.77,11.52,40.44428571428572,65.03,63.9,182.1,172.57
83.72,131.8,97.92,72.72,129.25,94.97,59.46,138.99800000000002,108.88,43.94217391304348,120.68,125.62,70.95,78.48,80.50666666666667,62.47,183.93,84.28,176.62,72.0,178.75,172.45,122.4,40.5,41.059411764705885,59.7,77.55,162.2,150.2
76.61,138.35,92.45,72.26,125.53,85.92,60.05,129.1452380952381,102.65,38.77130434782609,118.0,130.9,85.4,79.78,77.61000000000001,61.85,176.47,77.85,158.75,62.68,172.53,161.0,88.03,63.9,37.03944444444445,58.08,65.63818181818182,151.62,152.1
75.53,110.75,51.93,72.38,126.25,73.4,64.2,146.7,96.62,42.75,99.53,121.1,57.43,99.2,72.26272727272728,60.08,156.53,71.85,120.92,59.75,145.5,156.62,99.12,70.35,47.1,61.17,54.07347826086956,125.65,87.9
54.81,67.38,51.23,44.48,65.38,30.55,55.31,124.58,64.97,28.55,60.05,82.45,18.7,106.95,94.2,51.85,109.45,31.95,63.55,51.72,100.35,105.6,37.35,36.35,39.98,9.65,39.004090909090905,76.92,126.2
21.14,18.5,27.47,19.71,46.58,7.28,40.51,88.55,25.15,12.42,14.1,38.6,1.35,34.82,61.52,27.2,34.58,6.22,26.85,16.23,24.4,54.57,31.8,11.98,11.85,6.0,21.73,15.15,67.1
19.1,20.48,14.72,26.68,51.85,2.6,28.87,58.25,29.92,7.2,8.95,44.42,1.38,40.09,39.88,8.28,5.08,15.82,10.55,9.45,0.85,21.23,24.43,27.88,5.07,4.75,22.67,9.45,44.67
12.55,39.48,8.43,24.41,45.53,1.33,19.75,45.38,25.8,6.16,8.97,34.8,1.88,61.66,26.32,10.25,3.3,16.5,6.82,11.82,0.45,14.52,19.55,18.43,5.3,6.32,22.77,32.83,28.5
17.2,36.02,6.55,24.04,29.12,5.15,18.44,33.9,23.65,5.21,8.1,24.55,1.98,33.41,38.42,12.65,3.95,17.38,8.62,12.28,0.2,14.62,20.8,23.32,4.28,7.55,22.38,12.93,20.55
17.39,26.25,6.08,25.12,29.88,3.4,21.82,24.15,20.5,3.3,8.45,18.38,1.9,35.0,40.7,13.45,3.42,12.77,11.78,8.95,0.3,21.05,13.8,16.15,2.42,8.05,26.8,5.3,10.9
14.46,45.3,5.15,27.91,29.85,2.95,19.99,19.47,22.85,3.66,8.32,19.18,1.0,24.17,27.95,12.55,3.08,9.75,11.1,7.7,0.3,102.67,10.92,18.88,2.92,3.88,32.33,5.72,4.68
13.93,37.17,3.42,31.76,32.98,3.5,15.49,6.57,16.5,2.14,9.05,25.98,1.1,20.08,23.55,6.17,4.53,10.75,11.15,9.28,0.1,118.97,12.53,13.5,3.23,4.25,36.92,5.45,2.45
10.78,27.0,2.9,23.65,30.4,5.55,12.63,5.0,14.5,2.08,14.5,10.6,2.37875,24.27,15.4,4.3,4.5,12.7,17.25,13.35,3.13375,54.6,7.45,15.0,6.5,5.558461538461539,14.2,5.8,3.55
4.21,14.8,2.7,17.16,31.4,2.3,13.33,5.35,14.5,2.0,10.53,10.52,2.3414285714285716,26.41,13.75,2.3,3.3,12.82,14.25,12.32,4.3,42.0,6.95,3.75,1.9,1.15,13.6,5.43,2.55
2.83,3.58,2.55,17.68,30.77,3.3,12.43,6.05,12.1,2.0,10.22,5.6,2.7289473684210526,24.37,15.12,1.5,3.5,9.15,8.97,10.28,5.12,23.45,3.45,2.38,1.97,2.75,13.88,5.17,2.78
2.61,4.2,2.42,16.6,29.1,7.1896,11.36,9.05,9.75,2.0,8.93,6.92,3.717,20.11,10.48,0.85,3.42,9.68,8.32,11.25,2.4,9.25,4.33,8.965217391304348,1.6,3.22,14.12,4.72,3.42
2.03,4.92,2.48,13.36,28.95,8.5824,11.53,10.18,9.07,2.0,8.7,6.2,5.218999999999999,23.31,9.35,0.7,2.83,11.02,8.62,9.38,12.35,7.17,13.3,10.295652173913043,1.5,3.17,16.0,4.92,3.12
1.56,3.88,2.8,11.77,28.27,3.0,12.16,8.15,9.65,2.01,8.3,6.4,0.1,19.9,8.35,0.75,2.77,8.75,8.85,8.45,6.7,6.8,5.15,14.594761904761908,1.23,3.25,15.57,5.28,2.55
2.41,3.92,7.73,8.77,29.07,9.73,15.81,7.28,13.35,2.03,8.8,8.57,1.43,22.79,10.6,1.25,3.7,9.05,12.6,14.32,18.43,7.72,9.5,0.7,1.73,3.58,14.1,6.22,5.97
5.25,12.15,22.52,31.3,30.4,12.53,27.0,8.57,24.22,2.61,13.2,12.62,3.83,25.02,25.12,3.25,14.95,11.68,15.43,18.0,31.73,18.07,15.1,13.6,2.1,3.83,16.95,13.78,38.17
20.8,38.8,33.1,48.1,39.6,13.08,40.91,35.83,51.4,3.86,27.05,37.55,19.38,27.92,68.03,20.1,49.78,32.95,38.0,30.12,57.55,50.75,36.38,44.97,5.62,6.45,27.85,29.2,83.28
60.57,83.05,52.28,85.76,81.65,39.55,51.04,97.5,98.77,4.82,45.25,113.05,68.4,27.38,43.32500000000001,40.17,86.8,62.8,82.5,54.3,93.2,130.22,81.28,94.92,31.28,15.8,42.27,58.67,140.07
87.25,158.45,80.98,104.25,128.9,88.71124999999999,66.96,143.65,103.72319999999999,40.303461538461534,80.0,138.88,137.95,46.05,48.6425,66.95,161.28,99.62,41.28,93.92,172.3,184.85,133.3,138.77,32.692499999999995,30.65,83.4,119.88,178.4
93.19,118.83239999999998,119.85,93.29,151.08,98.45708333333333,81.57,155.77,107.34800000000001,62.72,138.15,138.1,127.12,46.61,60.71666666666667,136.55,146.2444444444444,124.0,124.1,111.33,140.21875,125.83863636363638,116.62,144.05,38.67588235294118,52.65,53.76826086956523,165.3,141.75478260869565
83.88,117.78583333333334,145.82,72.21,153.45,100.2517391304348,88.45,165.45,134.4,68.96,156.35,132.38,105.4,43.73,80.83666666666667,91.38,155.5926315789474,122.68,182.57,105.12,151.8972222222222,130.73913043478262,115.6,132.12,41.254374999999996,54.17,58.78681818181817,186.15,198.5
73.38,150.6,123.57,76.51,137.78,38.7,88.93,171.53,124.55,71.01,167.73,133.0,105.72,36.24,73.44333333333334,84.72,188.2,99.08,185.82,84.55,197.7,192.8,122.28,121.6,46.6,53.3,61.219090909090916,133.26565217391305,185.55
80.14,144.8,92.83,78.34,121.78,82.2,80.32,168.47,108.38,63.11,145.57,136.52,97.03,33.12,63.9875,79.28,198.1,86.25,152.05,66.1,189.0,170.65,113.05,117.97,37.25052631578948,51.88,70.75095238095238,184.88,158.35
70.28,122.83,70.5,71.7,106.6,48.6,70.06,152.57,94.62,49.84,101.1,129.43,60.17,42.07,74.206,72.05,153.43,67.27,125.62,62.92,155.07,145.0,100.03,106.55,49.3,51.2,94.9,130.22,138.4
52.18,48.2,49.3,40.21,61.18,14.12,59.31,122.72,64.6,34.77,43.75,95.62,12.22,41.11,91.4,48.38,83.35,28.7,84.73,49.38,47.55,105.5,48.67,52.95,39.75,37.55,39.08318181818182,35.3,132.3
21.23,7.92,29.23,22.04,42.5,4.35,43.91,74.0,22.85,15.61,10.77,50.42,1.95,11.61,46.6,20.15,13.25,7.25,8.55,13.65,3.0,57.5,4.12,25.6,8.35,8.7,15.55,5.47,78.58
14.5,6.57,19.88,16.94,43.12,5.7,30.81,48.05,10.45,1.66,9.03,42.5,1.6,6.37,40.4,7.45,3.58,10.15,8.88,9.32,2.35,48.72,9.8,31.75,2.15,4.2,15.07,5.43,17.7
15.72,24.73,11.6,22.41,57.08,6.4,26.46,47.33,23.05,7.07,9.25,45.23,6.52,26.55,58.15,11.07,3.48,10.0,9.6,17.07,0.2,49.28,22.88,38.23,3.4,6.6,19.98,5.72,35.2191304347826
16.5,50.6,11.67,28.56,71.28,7.15,27.69,57.23,48.12,12.75,8.45,46.43,5.58,24.37,56.3,10.05,3.85,10.97,7.48,19.82,7.134999999999999,49.17,32.3,42.55,8.72,12.3,33.1,7.55,27.0
12.45,29.62,7.83,29.5,49.33,5.38,29.39,43.67,42.52,10.46,8.7,40.2,4.5,27.34,47.93,18.05,3.38,9.68,10.38,19.35,0.28,29.5,28.77,43.2,11.85,9.12,39.88,16.15,11.0
10.97,25.98,5.97,31.61,53.95,5.2,27.35,27.53,22.07,18.32,7.72,34.15,3.97,26.04,44.55,14.9,6.0,7.8,13.85,12.35,0.35,10.78,21.42,33.45,10.2,13.15,48.78,5.58,9.674545454545452
13.65,9.7,3.58,30.25,42.62,1.4,17.36,5.9,14.53,4.25,8.38,10.12,1.65,29.79,36.97,7.7,14.88,8.12,13.65,10.88,9.27,52.65,17.62,20.98,3.12,4.68,50.3,5.3,7.441818181818181
5.8,3.3,2.85,22.67,31.73,6.625000000000001,16.26,3.8,12.7,5.177058823529412,13.25,10.35,3.4333333333333336,26.84,25.1,2.4,3.8,15.5,17.75,16.15,8.897142857142857,12.7,8.55,12.05,5.5,4.3,22.4,5.25,2.3
3.42,2.72,2.65,20.53,32.83,1.52,18.41,4.53,10.88,4.080555555555556,8.53,7.62,2.8778571428571422,22.71,22.72,3.12,2.97,8.45,12.98,16.7,20.48,14.12,12.7,4.52,1.62,3.6,19.02,4.93,4.6
2.66,6.1,2.7,20.94,31.5,2.4,12.64,6.33,9.22,3.91125,8.65,6.4,3.171111111111111,18.93,14.2,1.62,2.8,7.9,8.12,13.53,16.45,12.97,10.35,10.6,1.9,3.47,14.85,4.83,5.686999999999999
1.94,4.8,2.58,18.84,32.27,4.75,11.94,8.27,9.25,2.8850000000000002,8.7,5.4,3.7744999999999997,17.89,10.53,0.85,2.8,8.4,9.72,11.35,9.3,7.53,1.18,2.25,1.57,3.78,17.6,4.83,5.5652380952380955
2.12,3.35,2.25,18.47,29.58,10.6,11.87,8.2,9.38,2.9064705882352944,8.28,7.3,5.869999999999999,18.26,8.32,1.0,2.6,10.12,7.03,10.85,6.15,7.83,12.98,0.9,1.43,3.25,15.82,4.93,5.663636363636363
2.07,3.15,2.72,17.75,30.68,7.38,12.39,6.65,10.15,4.573529411764706,8.33,6.32,0.2,35.52,7.82,1.1,2.85,8.55,9.88,13.4,15.53,7.3,6.45,14.617826086956518,1.98,3.65,14.42,5.22,6.144761904761904
3.35,6.97,6.4,15.97,30.3,3.2,15.49,6.0,19.3,0.61,8.55,9.68,0.98,37.55,14.52,0.9,3.5,9.95,15.05,18.43,29.6,11.85,6.65,3.9,2.12,3.62,14.58,6.1,26.45
9.01,16.12,27.82,37.34,34.03,13.63,32.08,9.3,35.4,1.91,16.9,19.43,7.72,23.02,38.6,3.95,22.5,18.45,27.25,28.55,58.38,33.48,16.68,27.8,3.55,6.28,20.9,14.47,22.9
29.11,56.35,50.38,59.88,53.85,37.33,51.4,57.12,69.1,5.49,46.55,84.8,31.45,29.64,73.7,25.65,63.33,43.67,61.05,40.83,75.97,92.78,38.1,56.67,10.82,16.62,43.42,44.23,85.88772727272728
59.84,94.05,80.53,74.42,70.65,80.55,53.59,110.05,97.82,30.75,90.72,85.92,41.08,63.34,51.63857142857143,54.33,124.28,69.35,125.75,67.05,108.4,140.22,74.85,86.78,35.77,31.02,56.17,107.9,122.15652173913041
82.58,126.35,111.7,95.61,105.43,156.7,63.76,156.6,134.48,70.52,140.55,94.8,51.45,86.71,59.24399999999999,89.53,170.7,101.28,183.35,91.4,180.97,115.29500000000002,88.55,115.28,33.56823529411765,47.9,64.9,182.65,134.05608695652174
99.28,136.72,113.15,96.76,123.22,161.43,71.56,179.97,128.43,83.49,130.32,122.9,61.15,81.75,64.86666666666667,93.25,146.60882352941175,101.58,147.00809523809525,88.88,150.38,110.47095238095237,91.14423076923077,79.77363636363636,37.064375,57.17,84.88,136.49217391304347,112.2
86.42,148.65,108.75,79.57,130.65,161.5,72.02,165.1,114.23,64.67,61.4,125.22,47.83,48.39,71.125,73.43,155.69157894736844,86.7,152.60238095238097,87.45,156.165625,88.6,106.0,79.69458333333333,38.68333333333333,60.75,84.12,189.75,172.43
70.38,154.35,100.95,67.25,137.6,128.93,72.07,146.12,110.35,58.2,72.0,127.72,37.47,24.81,66.91666666666667,63.77,194.5,78.35,182.47,79.12,155.50894736842105,89.62,108.5,79.71041666666667,38.379374999999996,62.65,68.32,166.12,183.4
66.07,139.45,89.93,63.61,136.57,102.65,74.6,143.82,113.3,57.76,80.1,130.2,38.62,11.71,66.755,69.6,172.38,80.45,169.5,73.97,178.43,84.9,100.62,76.45,49.1,64.15,80.1,154.93,174.18
59.53,115.1,83.72,60.43,121.12,88.38,66.91,138.57,100.0,53.83,79.0,123.9,31.0,40.27,79.7309090909091,68.15,155.7,59.4,155.93,74.72,152.22,82.65,79.95,97.25,32.35,60.68,62.53,136.82,156.88
44.62,60.6,68.82,45.58,76.45,38.52,55.9,125.53,59.05,37.36,62.78,92.7,11.05,35.94,88.5,56.6,112.35,27.05,127.25,50.52,99.75,54.62,60.67,50.43,33.33,48.73,41.4,95.0,111.3
25.38,18.38,31.45,21.62,58.03,5.85,42.11,92.9,31.05,16.38,27.05,59.1,2.78,14.61,60.9,35.7,53.17,4.88,41.2,27.15,44.5,32.53,31.8,26.33,14.43,18.6,27.73,26.65,64.53
22.34,5.62,13.78,20.57,59.9,4.95,36.47,80.6,23.67,7.6,8.72,50.42,3.5,17.81,66.07,21.75,12.35,13.35,8.03,20.02,15.95,39.47,14.55,20.2,3.62,5.65,22.22,5.6,30.92
21.82,19.12,19.45,23.84,73.85,4.95,28.84,79.0,33.78,13.28,8.32,48.1,9.07,36.69,71.77,28.67,6.05,10.48,13.25,24.0,9.95,50.3,15.7,38.25,2.78,16.1,27.85,15.2,36.15
17.41,9.97,23.43,29.84,75.83,5.35,22.25,72.5,34.1,12.48,13.28,37.95,8.75,42.96,63.05,27.15,20.93,12.6,15.72,27.32,13.2,51.02,10.6,24.18,8.0,17.8,30.82,30.48,35.27
15.9,17.75,16.1,26.36,58.05,3.78,22.07,61.48,35.9,15.0,13.18,32.12,3.6,26.26,63.1,23.05,27.23,6.95,18.05,26.32,24.55,37.28,6.92,20.85,9.93,7.02,35.17,14.75,33.15
13.5,4.2,12.05,24.48,36.98,7.88,22.81,44.05,22.62,13.29,11.68,31.38,5.3,16.59,41.7,14.68,19.38,6.92,14.55,18.25,17.75,20.6,2.92,19.27,13.55,4.1,47.5,7.22,7.75
14.84,2.18,8.85,21.55,31.93,7.2,23.68,14.53,31.15,2.05,9.57,13.55,3.92,23.98,33.35,9.6,20.82,8.15,14.6,16.85,35.58,25.52,8.07,18.62,8.05,3.2,56.12,5.2,2.4
10.07,5.0,3.25,17.13,31.45,2.6,19.51,4.3,24.0,5.509411764705883,13.6,8.7,4.391111111111112,11.88,33.55,5.7,3.5,9.75,20.9,21.3,21.197499999999998,24.7,28.15,12.5,12.3,4.0,31.95,6.2,3.15
9.11,2.67,2.58,23.18,32.12,8.53,19.75,4.4,19.48,4.492222222222222,8.12,7.73,3.352666666666667,21.58,22.92,3.45,2.95,9.7,12.93,19.23,23.5,12.2,15.68,16.2,2.6,3.65,18.9,5.55,3.35
6.01,10.72,2.9,17.09,30.6,4.3,19.25,5.17,14.52,4.5,8.45,6.33,3.737894736842106,18.37,20.05,0.7,2.6,14.37095238095238,8.9,12.95,26.15,8.8,5.8,5.45,1.28,3.78,19.15,5.35,3.4
4.15,9.68,2.7,23.23,30.3,4.15,20.13,6.1,12.78,3.562,8.12,6.28,4.404,20.07,18.85,1.85,2.28,15.036999999999997,10.1,12.55,17.1,7.0,1.3,3.85,1.5,3.32,16.83,4.88,3.5
3.73,5.85,2.33,20.47,29.38,5.6,21.08,5.75,16.45,4.0575,7.9,5.53,5.547500000000001,20.89,18.42,1.4,2.6,15.514736842105261,8.77,12.27,11.75,7.95,10.011538461538462,2.3,1.52,4.0,17.2,5.43,3.42
4.47,3.23,4.7,18.04,29.93,5.05,20.14,4.75,14.53,6.103125,7.93,6.35,0.85,13.94,14.75,1.1,1.98,10.906470588235294,8.3,13.42,19.1,7.8,0.9,14.74304347826087,1.32,3.47,14.03,5.2,3.5
6.44,4.55,10.0,16.1,30.05,6.53,22.39,7.57,13.53,8.546315789473686,8.48,8.3,2.72,19.41,22.08,0.6,6.3,11.00235294117647,11.97,13.68,32.2,11.32,1.1,4.95,1.48,3.52,16.2,6.75,9.88
16.1,21.03,23.2,34.51,35.9,16.68,30.62,19.68,37.75,2.72,14.47,14.9,8.6,24.56,51.27,11.38,24.93,14.871176470588235,27.92,19.07,50.17,26.15,9.4,20.85,2.5,5.48,24.57,18.57,45.02
37.23,43.38,41.95,53.12,49.28,39.1,38.15,57.8,65.4,13.83,34.42,45.6,20.15,30.98,87.0,27.6,62.23,30.509375,66.28,33.8,79.78,55.9,36.75,55.12,11.32,12.2,35.7,64.92,92.85
64.72,93.45,75.15,74.09,87.38,92.03,53.05,118.08,101.15,36.42,69.6,46.62,47.45,34.07,62.002500000000005,53.62,123.73,50.83176470588235,122.22,61.5,119.55,107.83,71.12,88.1,30.38,29.5,48.83,125.95,141.93
83.34,151.07,104.7,83.18,129.78,139.95,64.56,158.45,127.25,59.38,107.1,5.07,71.88,56.36,73.15333333333332,77.53,184.15,69.683125,184.48,82.75,180.55,145.75,85.45,117.25,43.67,50.8,62.35,183.97,179.55
76.7,162.23,112.57,75.18,131.12,153.82,74.71,150.62,117.83,61.45,122.3,5.27,78.75,43.4,69.135,76.78,150.88176470588235,70.19411764705882,149.14999999999998,81.75,158.30277777777775,135.88,89.5,123.85,47.8,55.52,76.65,189.43,178.85
74.53,137.68,96.97,67.39,137.5,163.35,73.83,150.52,112.95,60.12,115.82,50.2,74.07,60.03,89.6,66.25,195.5,67.35235294117648,175.75,73.0,196.0,132.28,80.88,121.92,45.85,58.25,71.22,171.0,179.12
69.17,130.68,91.22,63.88,136.28,129.65,66.96,144.6,107.7,56.66,101.53,102.88,86.62,71.52,79.41,63.73,172.27,66.65941176470588,176.25,75.4,179.45,133.97,77.35,122.67,44.12,58.23,73.15,167.18,167.4
67.06,126.88,88.05,70.26,140.9,117.08,67.54,141.98,107.43,56.57,103.45,110.4,75.5,61.79,64.52333333333333,66.75,171.07,58.14352941176471,166.05,73.73,166.78,132.08,90.42,124.6,42.85,60.55,88.8,152.22,168.2
69.51,108.2,78.38,61.57,137.9,97.4,62.77,139.75,102.38,49.62,94.35,118.12,49.05,63.17,72.977,65.35,156.7,44.85117647058823,151.38,75.08,144.38,129.85,79.7,112.85,39.85,60.15,82.68,141.15,156.18
52.99,66.35,56.37,40.0,86.8,52.62,54.08,124.75,62.8,35.3,71.2,71.9,8.8,47.89,92.2,56.27,118.95,24.24235294117647,111.55,56.57,87.85,95.2,52.75,58.07,29.83,44.4,50.15,95.2,123.8
27.99,4.47,32.73,24.36,55.92,3.35,42.25,88.9,16.15,15.17,21.38,44.35,1.82,14.8,66.62,29.65,51.53,10.712777777777777,30.73,23.83,29.15,42.52,27.5,22.88,11.22,11.0,28.02,13.32,70.7
16.14,2.7,16.15,17.83,36.5,4.75,35.06,47.92,10.18,1.82,8.52,41.0,1.98,30.51,34.75,12.12,13.2,12.708333333333332,9.62,11.5,18.55,32.02,10.12,20.8,1.95,4.35,17.02,5.5,56.12
10.03,2.83,4.8,14.48,34.33,8.25,28.75,6.38,8.72,9.072916666666666,9.25,44.45,1.58,19.11,25.85,11.03,5.55,12.279999999999998,10.75,8.68,16.55,8.62,8.05,25.8,2.08,3.45,14.07,5.07,28.42
10.11,2.2,4.12,13.65,33.62,4.25,24.19,26.42,10.02,2.22,8.38,34.83,1.48,6.15,30.75,11.0,3.1,15.32888888888889,8.82,12.52,5.17,26.93,4.0,25.93,2.4,3.68,17.07,5.2,7.35
9.2,2.17,2.67,20.22,34.95,5.1,21.58,10.95,19.18,5.4,9.05,27.45,1.5,14.62,29.9,6.42,3.33,12.196470588235295,9.28,13.45,1.15,83.83,0.7,29.62,3.6,3.8,26.48,5.33,3.35
15.54,2.27,2.5,32.37,31.8,6.5,22.92,17.35,15.72,2.73,8.15,28.12,1.6,30.85,38.33,3.52,3.3,10.761111111111111,8.9,8.3,0.95,13.72,5.05,31.43,7.0,3.52,38.07,5.15,2.62
13.04,3.55,2.92,29.28,29.68,4.6,21.04,13.4,10.57,1.22,8.27,21.7,1.0,21.46,27.72,1.73,3.08,10.059999999999999,9.15,9.83,0.2,7.45,14.68,1.8,7.88,3.33,47.58,5.0,2.45
13.32,3.6,3.85,34.08,33.7,7.3,13.97,11.5,20.1,3.861666666666667,12.0,8.65,2.1149999999999998,19.2,14.05,2.7,4.2,19.813888888888886,17.15,10.5,1.6,8.8,9.65,15.840434782608698,14.85,4.3,36.7,5.6,3.2
7.88,2.7,3.1,24.59,31.02,3.4,12.73,4.28,14.07,0.53,9.12,7.1,3.4835294117647058,18.27,15.45,3.4,3.62,19.996470588235297,9.47,8.85,14.150454545454544,7.42,10.67,14.95909090909091,9.25,3.58,30.7,5.2,2.58
5.14,2.75,2.7,21.13,30.32,2.8,11.72,7.4,13.32,4.358750000000001,8.38,6.57,3.71,17.17,9.4,2.4,3.7,19.703529411764706,11.53,9.05,0.53,7.55,0.2,1.3,2.38,3.38,18.88,5.05,3.17
4.3,2.55,2.7,14.84,28.08,7.5,11.59,9.18,13.07,3.5925000000000002,8.35,6.27,0.4,21.38,10.82,2.35,3.48,17.94058823529412,9.73,9.12,16.204347826086956,8.32,0.1,9.319999999999999,3.15,3.58,13.2,5.03,2.75
3.12,2.38,2.35,10.95,28.93,6.65,11.98,4.3,12.02,3.771176470588235,8.7,5.65,0.6,24.2,7.8,0.9,3.73,11.548823529411763,8.52,9.52,20.028695652173916,7.53,0.5,10.904761904761905,2.67,4.07,14.3,4.98,2.73
2.5,2.5,2.67,12.5,30.6,4.25,12.32,5.92,13.25,5.095294117647059,8.07,5.88,1.57,34.59,6.2,1.65,3.47,9.0475,8.38,9.7,0.4,7.55,9.153599999999999,14.441999999999998,2.7,3.83,13.78,5.4,3.43
2.3,3.08,3.65,17.76,33.0,2.08,13.9,6.78,15.1,7.6878947368421064,8.38,8.05,2.3,24.49,38.8,1.6,3.7,11.606470588235295,8.68,10.65,4.85,9.07,12.771999999999998,0.1,2.55,4.72,62.9,6.15,7.38
13.53,12.38,15.23,46.27,30.9,20.15,26.79,9.65,25.75,0.91,8.9,12.28,3.93,22.5,74.95,3.9,8.35,14.745882352941178,12.12,16.25,42.23,15.9,3.25,17.52,3.62,4.3,153.0,9.0,34.17
46.64,37.0,45.85,73.61,44.15,29.9,51.09,64.67,58.8,6.59,26.48,43.48,25.52,46.03,92.1,19.57,48.8,30.15875,43.42,27.22,91.0,64.33,17.73,50.75,14.83,10.8,132.72,33.55,77.33
79.85,85.75,74.22,104.78,99.75,90.72,57.53,128.07,109.92,24.84,57.42,57.6,46.85,41.97,59.13428571428572,52.58,131.05,50.199999999999996,90.88,62.1,129.6,106.6,58.23,95.18,42.9,26.05,84.9,88.97,113.5
97.77,145.2,104.15,111.6,142.28,155.05,70.56,145.8,145.77,55.09,110.5,19.5,97.88,52.14,71.614,85.45,180.35,73.513125,161.9,101.62,149.7,160.93,76.05,84.5772,34.219375,49.0,83.83,170.1,104.05
93.71,159.55,145.97,88.72,167.62,188.05,79.48,175.82,167.6,68.56,182.5,90.25,102.93,113.93,83.525,123.67,150.96625,74.2964705882353,142.52473684210528,104.72,153.86066666666667,191.9,98.62,93.87521739130435,38.582,76.78,96.75,134.4157142857143,184.0
89.13,174.32,151.5,84.18,166.7,119.70125,68.56,188.98,164.95,75.59,193.4,121.72,101.53,123.41,91.36,174.88,162.36529411764707,70.69058823529411,146.90526315789475,98.4,155.95866666666663,128.23954545454546,118.18,118.55,39.72538461538461,87.62,70.17,136.18714285714285,195.5
89.71,173.9,137.7,88.81,129.2,99.45260869565215,88.04,145.5713043478261,145.0,75.96,175.8,143.43,118.67,167.88,68.95666666666666,167.45,156.753,63.79944444444444,142.30333333333334,89.42,148.2422222222222,188.9,99.3,136.68,38.546,76.6,78.5,128.34095238095236,198.4
88.77,149.4,114.4,86.62,135.95,181.2,88.45,134.80916666666667,123.9,82.15,155.07,139.03,114.62,113.24,57.83399999999999,131.2,146.56181818181815,51.30736842105264,130.17454545454547,71.97,138.65722222222223,161.55,110.85,122.92,35.088235294117645,77.42,96.08,185.0,149.1
84.68,111.7,80.95,80.39,77.83,104.9,77.3,178.15,98.88,61.85,99.97,122.2,76.1,89.2,64.90249999999999,69.62,176.0,39.034000000000006,138.7,46.78,156.05,122.43,94.97,113.12,36.0,60.5,66.4,138.55,153.7
57.67,27.8,42.53,54.44,46.38,43.75,57.47,119.12,54.62,38.64,27.38,66.7,5.17,57.18,86.6,35.5,93.1,22.214285714285715,41.2,19.75,25.6,57.92,78.3,40.2,25.9,40.93,43.25,77.3,103.62
22.69,2.65,20.12,38.0,61.12,3.7,41.5,30.27,20.85,1.35,8.62,34.7,7.45,55.41,26.07,10.1,18.38,9.78,9.1,7.22,1.3,22.6,23.72,20.52,8.68,8.12,13.57,6.05,64.78
8.51,2.67,8.97,24.99,40.35,3.12,25.33,4.68,9.72,0.51,9.05,29.33,2.08,8.81,7.12,1.4,8.95,8.27,12.57,8.45,17.08882352941177,11.9,10.43,12.47,1.9,3.8,12.8,5.25,48.92
