IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,ITO-CPCB,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,MDCNS-DPCC,Najafgarh-DPCC
12.97,15.987142857142855,7.35,10.76,46.98,1.9,14.37,5.95,23.05,36.01,9.4,3.03,8.88,7.84,10.9,7.22,11.05,5.23,14.98,13.58,17.5,7.03,11.88,19.88,5.0,3.85,13.27,4.47,7.62
6.86,16.646250000000002,5.58,8.73,46.5,0.78,13.61,3.6,23.4,45.52,8.7,3.83,9.03,6.92,10.32,5.5,10.85,5.45,9.3,12.83,9.22,5.85,8.32,17.43,4.9,4.03,11.15,3.58,6.47
6.11,19.0,5.665454545454545,12.12,43.75,2.65,12.73,5.1,15.9,52.1,6.8549999999999995,17.6,4.6,5.48,8.9,5.9,3.0,7.95,7.95,9.8,12.342500000000001,5.5,6.8,12.95,9.8,5.5,13.85,17.45,4.95
4.58,16.7525,3.15,13.11,41.03,3.5,11.18,3.08,19.98,47.28,7.85,6.97,4.57,5.78,10.65,5.65,5.67,6.78,9.3,11.65,11.9,3.55,7.93,15.62,6.38,3.52,12.3,4.18,3.17
5.16,16.00875,4.47,14.45,33.25,3.45,12.77,3.4,20.27,46.27,3.55,5.3,5.4,7.75,10.75,6.67,7.58,5.0,17.902,7.95,8.55,3.97,4.4,12.35,6.1,3.03,11.8,2.6,2.55
4.0,13.053749999999999,6.97,11.45,31.75,1.25,13.4,4.12,19.78,43.8,4.62,3.03,6.58,6.39,9.7,6.45,5.75,5.5,3.38,7.2,11.68,9.72,7.774444444444445,12.15,7.95,2.7,15.15,6.85,2.18
4.86,11.035,10.07,9.37,39.83,1.85,14.28,5.6,20.23,42.02,5.08,3.5,3.4,7.5,9.65,6.0,6.1,5.28,7.6,7.05,7.4,7.4,1.2,14.33,7.08,2.65,12.47,6.5,1.77
5.87,11.8925,6.03,13.39,40.65,3.45,18.22,7.47,20.35,41.26,4.35,6.03,2.45,8.1,8.7,6.7,8.35,5.55,4.85,6.3,12.23,7.38,2.35,15.48,6.05,2.88,11.2,6.33,2.45
7.53,14.311250000000001,9.78,20.95,40.38,5.5,18.4,8.4,24.02,42.56,6.78,7.03,9.2,7.34,7.62,10.72,8.95,4.75,14.7,7.35,20.95,6.92,4.6,16.15,7.98,2.9,11.82,7.52,5.67
14.83,21.26571428571429,6.85,33.4,42.95,17.98,18.16,17.57,26.98,59.39,10.22,6.58,13.95,8.85,10.95,16.32,17.5,5.43,10.15,10.65,39.6,7.8,16.2,16.62,14.2,4.45,12.98,17.07,9.95
27.71,26.881428571428575,11.62,43.34,46.2,27.0,21.36,29.38,32.08,56.71,14.75,6.4,20.25,11.84,19.8,22.55,20.75,5.22,11.38,13.78,53.55,8.12,21.15,15.6,27.83,6.6,15.57,34.2,9.62
36.44,37.4175,15.75,45.73,48.95,42.27,21.94,36.52,36.8,17.43,20.38,6.28,27.77,5.54,28.15,27.48,31.2,5.38,13.82,16.6,62.45,8.95,22.9,14.05,43.2,7.9,20.58,48.02,17.25
39.49,43.830000000000005,18.88,47.05,48.92,51.8,25.42,44.35,41.0,26.71,25.7,6.58,29.95,8.03,33.32,29.32,45.45,5.9,4.62,19.4,83.25,9.43,30.73,11.55,48.67,8.07,26.2,61.0,23.23
39.39,46.95100000000001,21.93,46.36,56.7,61.05,26.32,48.92,41.95,33.98,25.33,6.03,29.73,8.22,31.82,32.45,70.67,5.75,11.57,22.55,96.2,9.55,30.65,11.45,48.0,7.82,31.73,72.0,27.05
