IHBAS-CPCB,East-Arjun-Nagar-CPCB,DTU-CPCB,Shadipur-CPCB
3.83,10.56,1.88,1.2
1.92,6.84,1.74,0.36
1.44,7.56,1.63,0.38
1.18,7.04,1.42,0.55
0.84,6.86,1.35,0.58
1.05,5.34,1.37,0.67
1.64,6.14,1.63,1.6
1.85,9.64,1.5,0.89
2.33,5.79,1.51,1.08
1.85,5.95,1.46,0.8
1.77,8.67,1.5,0.94
2.07,5.75,1.48,1.14
1.7438888888888888,9.06,1.35,1.32
1.4664705882352942,5.34,1.36,1.21
2.1414999999999997,3.16,1.34,2.07
1.9585000000000001,7.76,1.3,3.62
1.74,8.0,1.38,4.66
1.94,4.12,1.73,5.74
4.79,3.01,1.75,5.0
6.59,4.13,1.81,6.35
6.46,7.22,1.99,6.16
6.12,3.91,2.08,9.4
3.88,10.14,1.96,8.3
2.94,6.04,1.74,6.39
1.81,7.07,1.91,3.89
1.09,6.46,1.8,1.68
0.7,7.73,1.89,1.04
0.66,9.5,1.75,0.61
0.83,8.0,1.7,0.65
0.78,4.86,1.58,0.23
1.12,9.34,1.64,0.28
0.94,7.05,1.56,0.38
1.08,8.66,1.58,1.01
1.23,5.26,1.52,0.44
1.52,7.42,1.48,0.95
1.86,7.93,1.51,0.98
2.04,6.22,1.53,0.9
2.08,8.45,1.69,1.94
2.21,7.22,1.58,1.83
2.05,7.61,1.56,1.33
1.79,7.08,1.57,1.6
2.54,9.86,1.65,1.73
3.74,7.01,1.56,2.14
7.05,8.89,1.88,2.29
6.14,8.29,2.12,2.25
8.18,7.2,1.88,4.04
7.32,6.4,1.78,4.85
5.06,7.08,1.89,4.8
3.14,5.67,1.66,2.65
2.56,4.81,2.14,1.79
1.41,6.86,2.06,1.13
1.4,7.25,1.94,1.07
1.19,8.25,1.86,1.1
1.41,8.35,1.82,1.21
1.86,8.46,1.76,1.36
2.22,10.04,1.64,2.21
1.98,8.52,1.65,1.01
1.38,6.01,1.73,0.99
