Alipur-DPCC
2.02
0.77
0.47
0.97
0.88
0.75
0.7
0.7
0.62
0.57
0.5
0.55
0.6
0.55
0.47
0.43
0.38
0.43
0.53
0.62
0.7
0.7
0.85
1.0
1.0
0.35
0.25
0.8
1.2
1.55
1.2
0.0
0.47000000000000003
0.3983333333333334
0.3633333333333333
0.28363636363636363
0.331
0.4600000000000001
0.319
0.2859999999999999
0.24600000000000005
0.3045454545454546
0.3054545454545455
0.31545454545454543
0.39181818181818184
0.9
0.47750000000000004
0.5091666666666667
0.5823076923076923
0.0
0.12666666666666668
0.3016666666666667
0.33499999999999996
0.34583333333333327
0.4025
0.37230769230769245
0.44076923076923086
0.4521428571428571
1.0
1.12
1.05
0.7
0.55
0.5
0.43
0.4
0.38
0.32
0.4
0.38
0.47
0.47
0.4
0.12
0.08
0.28
0.3
0.3
0.28
0.25
0.28
0.28
0.23
0.23
0.25
0.23
0.18
0.25
0.25
0.28
0.18
0.18
0.18
0.18
0.2
0.25
0.3
0.12
0.08
0.28
0.28
0.25
0.23
0.28
0.2
0.2
0.23
0.18
0.6
2.17
1.05
0.88
0.72
0.57
0.43
0.35
0.32
0.3
0.3
0.3
0.3
0.1
0.08
0.25
0.3
0.28
0.25
0.23
0.25
0.2
0.5
0.3
0.2
0.23
0.2
0.18
0.18
0.12
0.12
0.1
0.18
0.2
0.2
0.18
0.15
0.03
0.03
0.08
0.08
0.12
0.08
0.1
0.1
0.12
0.1
0.1
0.1
0.12
0.18
0.1
0.12
0.1
0.1
0.12
0.2
0.23
0.28
0.23
0.3
0.1
0.05
0.28
0.25
0.23
0.28
0.28
0.28
0.28
0.2
0.18
0.18
0.2
0.1
0.12
0.1
0.1
0.1
0.08
0.12
0.23
0.3
0.3
0.35
0.05
0.05
0.15
0.15
0.12
0.15
0.23
0.23
0.2
0.2
0.23
0.18
0.2
0.2
0.18
0.18
0.18
0.12
0.15
0.18
0.15
0.2
0.2
0.2
0.03
0.03
0.18
0.18
0.18
0.2
0.23
0.2
0.23
0.23
0.3
0.23
0.23
0.18
0.12
0.1
0.12
0.1
0.25
0.3
0.35
0.4
0.47
0.43
0.12
0.1
0.32
0.3
0.28
0.23
0.2
0.2
0.2
0.25
0.2
0.25
0.2
0.18
0.18
0.18
0.23
0.23
0.25
0.55
0.95
1.25
1.1
0.8
0.22
0.15
0.35
0.3
0.3
0.3
0.23
0.23
0.2
0.2
0.2
0.18
0.18
0.18
0.2
0.2
0.05
0.1
0.45
1.12
0.85
0.7
0.6
0.55
0.28
0.28
0.62
0.15
0.1
0.08
0.08
0.1
0.18
0.18
0.15
0.12
0.05
0.57
0.15
0.12
0.18
0.3
0.15
0.23
0.38
0.3
0.25
0.12
0.08
0.05
0.08
0.08
0.0
0.03
0.08
0.08
0.08
0.1
0.1
0.05
0.05
0.08
0.0
0.03
0.12
0.15
0.32
0.4
0.32
0.55
0.72
0.62
0.38
0.3
0.2
0.2
0.2
0.28
0.3
0.32
0.3
0.25
0.15
0.1
0.08
0.1
0.1
0.1
0.12
0.25
0.32
0.5
0.57
0.7
0.55
0.6
0.45
0.4
0.4
0.3
0.23
0.28
0.2
0.1
0.1
0.1
0.2
0.12
0.2
0.23
0.17
0.1
0.17
0.4
0.53
0.9
1.25
1.8
2.1
1.5
0.62
0.3
0.25
0.32
0.32
0.43
0.32
0.32
0.28
0.3
0.3
0.3
0.35
0.28
0.48
0.4
0.3
0.98
0.47
0.35
0.88
1.23
1.3
0.97
1.35
1.55
1.52
1.05
1.15
1.02
1.02
0.95
0.65
1.02
0.7
0.53
0.4
0.32
0.82
0.43
0.65
0.7
0.68
1.17
1.33
1.07
0.72
0.57
0.7
1.18
2.38
3.05
2.25
1.48
1.0
0.9
1.1
1.15
0.45
0.3
0.2
0.3
0.53
0.38
0.28
0.45
0.83
1.0
1.05
2.8
1.1
0.38
0.28
0.25
0.23
0.15
0.12
0.18
0.23
0.32
0.68
0.57
0.6
1.1
1.3
1.18
1.0
0.4
0.28
0.2
0.4352
0.1
0.28
0.4
0.6
0.45
0.3
0.2
0.2
0.12
0.12
0.2
0.18
0.15
0.15
0.18
0.12
0.15
0.1
0.08
0.08
0.03
0.05
0.08
0.2
0.2
0.15
0.23
0.18
0.23
0.28
0.25
0.17
0.1
0.1
0.1
0.1
0.12
0.1
0.05
0.03
0.0
