IHBAS-CPCB,Dwarka-S8-DPCC,Sri-Aurobindo-Marg-DPCC,East-Arjun-Nagar-CPCB,DTU-CPCB,Okhla-Phase-2-DPCC,Alipur-DPCC,Aya-Nagar-IMD,Sonia-Vihar-DPCC,Ashok-Vihar-DPCC,JNS-DPCC,Mundka-DPCC,Pusa-DPCC,Shadipur-CPCB,Vivek-Vihar-DPCC,Mandir-Marg-DPCC,Nehru-Nagar-DPCC,Wazirpur-DPCC,CRRI-Mathura-Road,RK-Puram-DPCC,Punjabi-Bagh-DPCC,KSSR-DPCC,Jahangirpuri-DPCC,Bawana-DPCC,Narela-CPCB,Patparganj-DPCC,Rohini-DPCC,Anand-Vihar-DPCC,NSIT-Dwarka-CPCB,MDCNS-DPCC,Najafgarh-DPCC
58.74,33.83,19.65,41.09,29.65,35.98,19.7,24.05,10.15,33.92,59.67,27.15,38.45,35.5,47.88,23.27,55.88,40.73,31.82,52.08,32.65,23.52,43.28,23.22,45.25,29.02,31.23,48.72,21.32,56.97,8.85
29.38,24.27,19.02,63.31,19.8,34.95,17.77,21.75,10.22,27.6,53.35,27.68,30.0,38.14,31.05,16.82,52.2,35.62,31.39,46.4,27.12,22.65,30.0,21.68,26.65,21.7,22.65,34.7,24.5,45.6,9.3
29.16,29.5,21.32,62.25,16.48,31.83,15.9,20.72,12.95,25.15,42.1,23.38,31.62,79.66,40.28,18.12,37.47,37.72,30.57,51.7,24.9,18.35,24.55,17.43,20.48,25.12,19.77,34.25,22.54,43.05,10.18
39.26,26.25,16.42,59.63,17.95,23.7,13.45,20.52,9.02,23.35,38.25,22.65,29.48,46.36,41.2,19.12,28.68,34.45,28.92,28.77,21.43,18.02,18.68,17.25,18.07,23.18,15.72,39.65,19.38,40.83,12.85
37.23,35.6,15.12,55.23,22.7,19.73,9.82,21.98,10.53,24.2,33.67,21.38,25.7,41.49,37.45,20.95,27.78,34.9,25.2,28.65,19.95,16.52,22.8,20.38,20.2,17.07,14.38,34.55,19.61,36.05,12.25
36.75,20.6,12.05,44.8,29.35,20.85,10.45,24.36,13.1,23.75,33.3,20.0,20.5,37.99,31.95,15.05,24.7,30.25,23.91,27.42,18.05,18.275,16.29764705882353,23.6,18.95,16.7,15.8,27.35,17.12,34.4,12.3
30.02,17.15,11.32,31.2,21.18,22.02,12.32,23.33,6.38,24.1,33.1,21.7,20.83,30.13,26.48,17.07,27.07,30.68,24.52,22.95,18.88,12.93,15.600000000000003,23.77,19.58,17.15,13.95,29.6,15.47,34.88,10.85
25.23,21.68,10.38,35.89,26.45,23.48,30.07,20.18,6.3,23.62,30.73,22.8,16.95,28.78,22.4,13.35,28.02,28.0,25.01,29.4,18.18,15.98,25.45,24.43,22.6,13.82,14.18,20.82,15.56,26.3,10.7
19.91,17.95,10.82,38.92,25.85,24.05,47.3,19.15,8.62,24.4,26.0,20.75,22.35,23.27,22.2,12.25,32.15,27.97,25.23,37.23,17.75,21.65,22.48,22.65,24.43,11.18,17.38,24.6,15.44,21.88,9.43
18.18,22.32,11.65,36.55,25.5,24.32,14.551111111111112,18.42,6.05,24.57,26.92,19.68,34.1,19.91,19.45,12.35,24.5825,27.2,25.81,33.38,18.65,20.1,20.4,21.7,23.33,12.62,17.45,28.12,15.9,22.7,8.9
20.45,21.88,11.23,40.64,29.15,24.02,14.276250000000001,17.54,7.85,23.33,18.42,17.25,30.25,16.06,19.73,13.77,28.65,25.52,28.78,25.73,19.25,19.95,20.17,19.7,15.93,12.62,14.62,32.67,14.27,23.0,8.35
18.28,18.3,8.07,27.95,37.25,20.45,14.152857142857142,16.58,6.62,20.98,15.12,14.72,29.23,16.22,16.65,12.97,21.82,24.07,26.84,16.6,14.75,14.45,18.67,14.28,12.32,13.0,12.0,37.9,14.2,20.33,5.83
16.02,12.82,7.07,22.34,33.17,20.03,11.514999999999999,16.18,8.57,20.9,9.65,13.27,22.9,18.84,15.53,11.6,15.87,24.17,25.77,10.78,15.1,11.32,13.5,12.25,10.7,9.48,10.78,38.45,14.58,17.57,3.22
14.53,13.25,6.15,20.94,26.93,19.75,5.436000000000001,17.0,7.97,20.57,7.75,11.3,23.75,21.25,14.93,10.82,11.98,24.83,26.1,9.8,20.23,10.65,11.0,12.03,9.12,7.28,9.43,43.05,12.57,16.263076923076923,2.2
12.68,12.28,5.75,18.8,12.18,18.12,16.55,16.49,7.95,19.45,6.2,11.12,28.55,31.78,13.3,9.98,11.23,26.95,26.16,9.2,18.52,11.93,13.8,12.1,8.28,5.75,8.35,43.88,14.61,15.19692307692308,1.35
10.86,10.68,6.5,19.24,9.6,16.75,11.740000000000002,16.3,7.42,18.48,5.72,10.07,22.4,37.03,11.88,10.35,14.23,29.3,25.78,11.7,20.6,13.47,10.32,11.5,9.23,4.85,8.95,34.45,23.57,16.91071428571429,1.55
10.54,14.88,5.4,19.84,8.82,18.12,13.125,16.07,7.42,17.35,6.3,9.97,38.08,37.07,13.03,10.18,17.5,27.93,23.75,10.15,19.77,13.1,10.77,11.07,9.48,4.28,8.68,37.12,19.65,12.5,0.98
11.25,15.33,5.42,22.7,6.62,14.8,11.521249999999998,15.86,6.4,16.8,6.7,9.9,25.6,33.41,13.33,9.93,16.445882352941176,26.8,21.6,9.55,22.93,17.07,9.9,10.9,8.65,4.42,8.0,36.88,17.03,12.43,0.9
10.73,12.1,4.42,23.46,6.55,16.45,8.712222222222223,17.89,5.38,19.3,5.42,9.78,31.5,21.56,14.05,9.6,18.0,30.18,19.71,10.12,21.4,15.12,10.73,10.92,8.9,4.28,8.07,31.7,15.41,12.18,1.75
11.39,17.12,4.57,27.59,5.12,19.48,7.573333333333333,19.41,6.5,21.18,6.28,10.6,33.0,22.62,12.22,9.25,12.78,34.67,22.21,6.97,20.82,17.48,13.15,11.75,9.0,4.2,8.45,35.2,16.82,13.4,1.0
12.23,13.38,5.62,31.91,5.98,22.1,7.096666666666667,21.5,5.85,21.17,7.8,10.45,37.03,24.98,13.85,10.9,11.23,32.75,23.43,9.07,23.18,18.75,23.58,12.7,10.38,5.78,8.82,24.08,17.31,15.2,2.23
14.42,13.5,7.4,37.17,6.75,27.82,6.743333333333333,18.51,7.45,23.82,12.05,12.95,40.58,31.18,16.0,11.98,13.12,34.85,27.1,17.52,24.8,34.95,21.62,14.75,13.93,7.05,10.38,30.32,16.8,17.75,3.22
20.18,39.38,10.32,60.57,18.32,33.8,6.726999999999999,26.14,9.75,31.0,29.3,34.17,55.38,32.01,23.75,12.55,30.28,39.4,31.73,27.67,29.1,24.07,28.35,17.5,21.35,14.15,27.1,30.75,26.31,21.3,5.4
28.19,57.8,25.85,66.75,27.53,51.23,8.28,26.77,9.43,39.0,60.1,31.1,25.65,51.12,33.5,16.52,58.28,49.82,41.08,69.0,51.55,20.55,36.0,47.53,33.1,18.7,29.57,44.65,28.66,41.95,13.6
32.77,56.5,17.18,76.7,28.0,51.6,9.759,20.27,9.7,41.52,64.38,28.75,41.4,33.98,39.55,20.8,59.15,40.9,38.94,70.78,52.15,37.5,31.23,27.43,46.97,23.27,25.58,46.23,24.19,57.77,11.38
26.87,46.62,14.68,82.51,20.27,50.45,11.418888888888889,22.39,8.53,35.3,57.02,29.98,37.12,43.36,41.62,22.65,40.71176470588235,44.08,37.71,56.1,32.4,24.75,24.73,45.55,35.25,27.85,28.02,49.8,19.41,53.52,7.75
26.04,39.6,12.4,75.92,25.12,45.67,10.38111111111111,18.42,9.65,30.95,51.83,26.68,37.75,49.28,43.55,18.4,52.85,36.65,43.26,50.98,29.6,25.82,17.45,34.65,24.12,28.85,24.3,46.08,16.77,53.62,9.68
21.24,35.95,9.78,56.02,27.3,42.98,10.318888888888887,18.76,9.75,32.97,48.92,26.12,30.82,31.82,33.2,17.45,44.35,30.6,42.65,44.15,26.95,33.67,11.5,28.82,41.25,26.53,20.95,42.05,16.1,47.83,10.8
17.11,24.6,13.25,52.89,25.32,37.58,7.33625,20.85,10.52,31.88,47.48,22.08,22.12,29.84,27.73,18.83,44.03,32.38,38.1,48.2,22.1,20.65,10.38,17.95,29.55,23.83,16.12,35.0,15.39,42.67,9.65
14.62,27.2,13.5,39.02,24.75,28.15,6.427777777777778,20.33,6.1,25.95,34.1,16.98,14.5,22.16,31.1,19.55,33.8,29.0,32.63,28.6,18.3,19.6675,7.0,27.2,26.35,20.8,15.4,33.65,13.57,29.56,10.3
14.27,25.98,13.15,33.4,24.9,24.88,6.746666666666666,19.72,6.03,23.73,29.6,20.73,22.57,23.82,21.88,16.35,31.95,29.0,29.99,30.43,15.3,16.08,9.68,23.98,25.12,15.55,13.4,28.27,13.7,28.05,11.8
12.08,25.8,15.25,51.21,16.35,23.15,10.790000000000003,18.68,7.2,23.27,33.2,23.38,22.18,24.97,17.8,14.07,31.8,30.88,30.27,40.08,15.1,13.95,16.08,20.9,26.95,13.4,11.8,20.35,15.52,27.57,16.35
14.74,23.73,12.65,48.71,13.15,22.85,12.851428571428572,18.36,7.5,20.7,30.57,20.95,27.17,40.22,29.23,16.88,28.38,27.25,31.75,33.38,19.32,11.1,11.75,21.48,28.2,16.18,15.05,29.53,14.58,33.0,10.47
16.34,14.4,11.6,35.1,12.32,25.3,7.025000000000001,18.92,6.55,21.8,31.1,17.55,19.82,33.76,26.95,17.52,25.241764705882353,26.25,34.81,29.73,19.5,11.32,9.38,21.02,26.62,13.25,14.12,32.1,15.21,33.9,6.35
13.56,19.8,10.75,30.32,11.85,21.8,16.591428571428573,23.3,9.15,22.43,23.05,15.27,30.5,26.13,17.77,11.23,29.9,28.1,36.65,19.75,18.82,10.55,9.43,17.03,18.65,10.2,13.12,36.7,14.42,21.98,4.42
18.52,18.02,8.85,26.7,10.57,21.92,20.15625,19.02,8.35,20.7,18.88,14.5,22.12,22.55,15.78,10.6,21.6,27.98,38.71,15.15,16.6,10.02,7.55,15.15,18.33,11.1,12.12,33.6,15.28,22.8,3.23
21.35,16.68,6.65,28.41,11.15,19.18,21.08111111111111,18.74,10.38,22.0,16.38,13.3,29.57,24.71,16.02,10.75,15.22,22.6,38.85,13.43,14.65,11.55,7.55,12.73,9.02,10.05,11.35,35.95,14.76,20.4,3.17
15.83,20.23,5.95,29.6,10.38,18.05,21.692,18.32,6.15,20.9,12.12,12.53,35.88,45.05,17.28,11.25,14.77,23.0,41.75,19.05,16.05,12.88,7.73,12.45,8.93,9.65,11.35,40.35,14.0,17.72,3.08
16.77,16.98,5.2,24.41,12.27,17.9,76.02,17.57,4.5,19.6,15.6,11.47,35.55,36.68,18.4,10.3,17.82,25.88,43.74,21.05,20.38,15.6,8.92,12.12,7.53,10.57,9.2,43.3,13.91,19.8,3.25
15.07,12.78,4.85,23.24,9.23,18.38,44.38,16.24,7.45,19.5,6.55,9.68,28.12,29.2,15.47,9.95,17.02,25.33,42.56,15.65,22.52,16.68,9.05,11.95,7.8,9.6,8.93,40.85,13.69,18.3,2.25
13.12,15.8,4.88,23.31,10.72,17.85,29.95,16.27,6.53,18.35,5.88,9.8,35.4,26.78,14.5,9.75,17.3,23.75,35.4,17.25,21.35,14.4,8.5,10.98,8.43,8.0,7.92,38.6,14.41,18.330000000000002,1.67
11.8,13.88,4.95,24.97,7.05,19.73,21.58,16.78,6.55,19.85,5.5,8.9,34.58,27.22,16.35,9.95,22.266666666666666,25.98,35.16,14.68,21.32,17.05,9.9,10.97,9.32,7.15,7.1,37.2,15.1,14.5,0.25
10.71,11.65,5.53,27.55,6.62,21.5,17.55,16.74,6.72,18.95,6.1,9.25,34.97,37.69,16.8,10.0,16.6,27.77,33.56,16.02,21.27,22.18,11.43,10.9,8.93,6.88,7.67,33.25,15.17,15.8,0.53
11.72,18.25,5.95,29.73,6.12,22.05,15.07,16.34,7.15,21.1,9.15,9.05,31.65,41.62,14.8,10.43,14.65,26.77,33.44,31.68,23.25,21.92,13.82,11.55,9.53,7.38,8.2,46.85,15.27,23.117142857142856,0.72
12.98,19.8,6.8,31.18,6.05,25.18,13.35,16.27,8.55,20.27,10.18,13.78,45.5,39.63,16.0,10.25,13.68,25.7,35.86,32.88,22.02,29.43,16.88,12.25,10.25,6.6,8.85,35.33,17.65,26.240000000000002,2.4
14.09,37.7,9.3,39.02,10.12,31.5,11.97,17.97,8.47,23.7,25.3,20.55,38.45,33.29,25.12,11.12,18.5,31.2,39.15,44.9,22.77,40.75,23.75,12.88,15.28,7.97,12.12,37.45,19.01,30.1,4.47
15.02,38.58,13.93,58.31,14.6,30.48,12.35,22.23,7.65,30.75,46.77,19.17,44.5,31.35,26.15,18.7,38.1,33.7,40.68,58.83,26.2,39.9,30.55,18.88,16.23,19.6,20.47,46.65,21.5,33.44166666666666,6.43
21.21,46.8,17.23,56.11,14.95,39.4,12.88,33.05,9.88,30.28,43.55,21.95,49.02,40.69,40.72,20.75,43.85,38.07,45.94,74.05,38.75,28.57,28.4,22.25,15.45,22.35,23.18,41.58,22.7,39.50454545454546,8.0
32.31,47.52,17.57,47.19,18.57,48.4,14.03,27.66,11.62,34.58,39.4,21.83,40.15,49.75,45.35,19.27,52.05,32.7,46.49,60.17,35.02,31.28,32.35,22.1,25.15,21.62,30.15,40.73,21.51,40.84454545454546,10.15
